,name,ean,price,discount,brand
48,"Nintendo Little Friends: Dogs and Cats (Switch) Basis Nederlands, Engels Nintendo Switch",5056208803337,36.99,8.0,Koch Media
49,Huawei B535-232 CAT7 LTE draadloze router | 3G-4G | dual band,6901443319121,140.0,0.0,Huawei
50,30 meter Internet Kabel / Netwerkkabel / LAN Kabel / UTP Kabel / CAT5E,7106616275993,14.0,0.0,Ecolle
51,"Bestekabels.nl Ethernet Kabel CAT6 – UTP – 1000 Mbit/s en 550mhz –  7,5 meter –  lengte van 1 tot 15 meter",8720256902188,9.54,0.0,Bestekabels.nl
52,Warrior Cats serie I - De wildernis in (1),9789078345176,17.99,0.0,Erin Hunter
53,Internetkabel 20 meter - CAT5e UTP kabel RJ45 - Grijs,8719327285244,16.99,0.0,ValeDelucs
54,Netwerk Kabel Set  | UTP Kabels maken | Zelf netwerk kabels maken | Volledige set | Internetkabels | RJ11 - RJ45 - CAT5 - CAT5e - CAT6,8719992366613,34.95,0.0,Strex
55,CablExpert PP6-7.5M - FTP Cat6 - 7.5 m - grijs,8716309045414,6.99,0.0,Gembird
56,UTP Kabel - Internetkabel 25 meter RJ45 Cat6 - Ethernetkabel - Netwerkkabel,9501151788249,17.99,0.0,MG
57,Cat-It Senses 2.0 Food Tree - Wit/Groen - Voerbak - Ø 35 cm,0022517431511,24.99,19.0,Cat-it
58,Cat-It Senses 2.0 Play Circuit - Kattenspeelgoed - Extra lange speelbaan,0022517431542,17.95,11.0,Catit
59,Lovnix Lucky Cat - Draadloze Bluetooth Kinderkoptelefoon - Over-Ear Koptelefoon voor Kinderen - Met Led Kat Oortjes - Wit/Roze,8719979425937,29.99,0.0,Lovnix
60,Schakelketting -  Roestvrij Staal - Halsketting - 5mm/50cm,7430436928983,19.99,0.0,Lazy Cat
61,Imac Easy Cat - Kattenbak - Blauw- 50 x 40 x 40 cm’,8021799403461,18.99,0.0,Imac
